IDCandidato,Nota_LP,Nota_ML,Nota_ESP,Media_Final
19106552,26.03,13.43,0.00,13.15
19141905,31.00,8.22,0.00,13.07
19138103,14.46,15.03,9.71,13.07
19130862,21.22,8.22,9.71,13.05
19133402,38.60,0.00,0.00,12.87
19117896,28.21,9.21,0.00,12.47
19133925,6.56,18.27,12.42,12.42
19133048,14.59,12.75,9.71,12.35
19120284,28.36,3.23,5.44,12.35
19137218,22.81,3.23,10.79,12.28
19121139,6.56,8.22,22.04,12.27
19112108,17.26,0.00,19.23,12.16
19138893,0.00,3.23,33.11,12.11
19133196,28.07,8.22,0.00,12.10
19110942,17.26,8.22,9.82,11.77
19103807,14.91,4.99,15.26,11.72
19114379,6.56,28.10,0.00,11.55
19138529,29.57,4.99,0.00,11.52
19131642,20.30,13.28,0.00,11.19
19135477,14.59,8.96,9.71,11.09
19123639,16.22,12.75,4.27,11.08
19107528,26.46,0.00,6.79,11.08
19114705,17.26,8.96,6.79,11.00
19111589,16.10,0.00,16.50,10.87
19121712,14.59,8.22,9.71,10.84
19123284,16.22,10.05,5.44,10.57
19108378,14.79,0.00,16.88,10.55
19117391,22.81,3.23,5.44,10.49
19102017,6.44,0.00,24.65,10.36
19113308,0.00,0.00,30.98,10.33
19137462,11.99,13.28,5.44,10.24
19115430,21.51,3.23,5.44,10.06
19101336,14.90,0.00,15.07,9.99
19136442,0.00,17.33,12.42,9.92
19133745,6.56,22.95,0.00,9.84
19112307,6.56,3.23,19.50,9.76
19127993,12.57,0.00,16.69,9.75
19117590,15.67,13.43,0.00,9.70
19111830,18.71,10.05,0.00,9.59
19111218,18.43,10.20,0.00,9.54
19118754,0.00,20.97,7.08,9.35
19138743,15.79,12.19,0.00,9.33
19140974,14.46,3.23,9.82,9.17
19124279,13.00,3.23,11.06,9.10
19126137,12.27,3.23,11.35,8.95
19125689,0.00,12.19,14.10,8.76
19130534,0.00,0.00,24.89,8.30
19104559,21.35,3.23,0.00,8.19
19139045,0.00,14.19,9.71,7.97
19131501,6.56,10.20,6.79,7.85
19132551,12.27,10.05,0.00,7.44
19117692,9.23,12.75,0.00,7.33
19137279,0.00,9.21,12.42,7.21
19132041,12.57,3.23,5.44,7.08
19129019,0.00,3.23,17.86,7.03
19124583,11.99,8.22,0.00,6.74
19112008,8.02,0.00,10.79,6.27
19122795,9.23,3.23,4.27,5.58
19137910,6.44,3.23,5.44,5.04
19115020,0.00,15.03,0.00,5.01
